REGION,ISLAND,OBS_YEAR,DATE_,SITE,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,Total Coral,CORAL_Branching hard coral,CORAL_Encrusting hard coral,CORAL_Foliose hard coral,CORAL_Fungia sp,CORAL_Leptoseris sp,CORAL_Massive hard coral,CORAL_Montipora branching,CORAL_Montipora encrusting,CORAL_Montipora foliose,CORAL_Pavona encrusting,CORAL_Pavona massive,CORAL_Pocillopora sp,CORAL_Porites branching,CORAL_Porites encrusting,CORAL_Porites foliose,CORAL_Porites massive,EMA_Macroalga,I_Sessile Invertebrate,MA_Macroalga,SC_Soft Coral,SED_Sediment,TURF_Turf Alga,UC_UnIdentified,CCA_Coralline Alga
MHI,Oahu,2015,40752,OAH-02184,21.478216,-157.776002,Forereef,Deep,0.259375,0,0.028125,0,0.003125,0,0,0,0.184375,0,0,0,0.03125,0,0,0,0.0125,0.009375,0,0.125,0,0.015625,0.571875,0.01875,0
MHI,Oahu,2015,40716,OAH-02114,21.249638,-157.771685,Forereef,Deep,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0.02,0.003333333,0.003333333,0,0.296666667,0.656666667,0.006666667,0.006666667
MHI,Oahu,2015,40752,OAH-02183,21.470013,-157.761159,Forereef,Deep,0.15483871,0,0.038709677,0,0,0,0,0,0.087096774,0,0,0,0.009677419,0,0.003225806,0,0.016129032,0.003225806,0,0.016129032,0,0.029032258,0.74516129,0.048387097,0.003225806
MHI,Molokai,2015,40708,MOL-01599,21.215419,-157.174478,Forereef,Deep,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0.036666667,0,0.006666667,0.943333333,0.01,0
MHI,Molokai,2015,40708,MOL-01562,21.203917,-157.130441,Forereef,Deep,0.036666667,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0.003333333,0.003333333,0,0.003333333,0,0.113333333,0.84,0,0.003333333
MHI,Molokai,2015,40715,MOL-01584,21.083145,-157.104597,Forereef,Deep,0.436666667,0.033333333,0.013333333,0.006666667,0,0,0.03,0.043333333,0.003333333,0.003333333,0,0,0.003333333,0.1,0.016666667,0.006666667,0.176666667,0.05,0,0.01,0,0.1,0.286666667,0.103333333,0.013333333
MHI,Molokai,2015,40708,MOL-01635,21.19211,-157.077592,Forereef,Deep,0.133333333,0,0.006666667,0,0,0,0,0,0,0,0,0,0.073333333,0,0.006666667,0,0.046666667,0.01,0,0.003333333,0,0.013333333,0.786666667,0.04,0.013333333
MHI,Lanai,2015,40714,LAN-01393,20.872587,-157.053577,Forereef,Deep,0.05483871,0,0.003225806,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0.035483871,0.038709677,0,0.006451613,0,0.132258065,0.732258065,0.022580645,0.012903226
MHI,Molokai,2015,40715,MOL-01596,21.080061,-157.04876,Forereef,Deep,0.516666667,0.01,0.006666667,0,0,0,0,0.11,0.073333333,0.03,0.003333333,0,0,0.21,0.006666667,0.03,0.036666667,0.003333333,0,0,0,0,0.403333333,0.063333333,0.013333333
MHI,Molokai,2015,40708,MOL-01605,21.189508,-157.047211,Forereef,Deep,0.027586207,0,0,0,0,0,0.003448276,0,0,0,0,0,0.020689655,0,0,0,0.003448276,0.013793103,0,0,0,0.1,0.851724138,0.003448276,0.003448276
MHI,Molokai,2015,40708,MOL-01643,21.190025,-157.035815,Forereef,Deep,0.033333333,0,0.003333333,0,0,0,0,0,0,0,0,0,0.013333333,0,0.003333333,0,0.013333333,0.006666667,0,0.003333333,0,0.016666667,0.933333333,0.006666667,0
MHI,Molokai,2015,40715,MOL-01652,21.070549,-157.025917,Forereef,Deep,0.453333333,0.003333333,0.036666667,0,0,0,0,0.026666667,0.056666667,0.013333333,0,0,0,0.266666667,0.006666667,0,0.043333333,0,0,0,0,0.18,0.296666667,0.066666667,0.003333333
MHI,Lanai,2015,40714,LAN-01349,20.789984,-156.991446,Forereef,Deep,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0.022580645,0.003225806,0,0.070967742,0.003225806,0,0.006451613,0,0.038709677,0.835483871,0.009677419,0.009677419
MHI,Molokai,2015,40708,MOL-01639,21.215533,-156.975942,Forereef,Deep,0.044827586,0,0.003448276,0,0,0,0,0,0,0,0,0,0.013793103,0,0.006896552,0,0.020689655,0.037931034,0,0,0,0,0.851724138,0.055172414,0.010344828
MHI,Molokai,2015,40715,MOL-01602,21.057969,-156.973183,Forereef,Deep,0.573333333,0.016666667,0.07,0.003333333,0,0,0,0.16,0.116666667,0.026666667,0,0,0.003333333,0.143333333,0,0,0.033333333,0.033333333,0,0.006666667,0,0.016666667,0.24,0.096666667,0.033333333
MHI,Lanai,2015,40714,LAN-01386,20.73067,-156.961336,Forereef,Deep,0.063333333,0.003333333,0,0,0,0,0,0,0,0,0,0,0.026666667,0.023333333,0,0,0.01,0.02,0,0.07,0,0.073333333,0.733333333,0.03,0.01
MHI,Molokai,2015,40722,MOL-01574,21.071436,-156.76816,Forereef,Deep,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0.02,0,0,0.01,0,0.38,0.57,0.013333333,0.003333333
MHI,Molokai,2015,40722,MOL-01590,21.099682,-156.741488,Forereef,Deep,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0.003333333,0.013333333,0.003333333,0.013333333,0,0.18,0.753333333,0.023333333,0.006666667
MHI,Maui,2015,40724,MAI-01770,20.914331,-156.699622,Forereef,Deep,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0.73,0.243333333,0.01,0
MHI,Maui,2015,40724,MAI-01785,20.799449,-156.61057,Forereef,Deep,0.416666667,0,0.016666667,0,0,0,0.003333333,0.05,0.126666667,0.013333333,0.003333333,0,0,0.126666667,0,0.013333333,0.063333333,0.016666667,0,0,0,0,0.466666667,0.036666667,0.063333333
MHI,Maui,2015,40724,MAI-01794,20.78597,-156.56094,Forereef,Deep,0.513333333,0.013333333,0.08,0,0,0,0.006666667,0.06,0.136666667,0.056666667,0.006666667,0,0,0.08,0.016666667,0.003333333,0.053333333,0.003333333,0,0.003333333,0,0.033333333,0.35,0.09,0.006666667
MHI,Maui,2015,40723,MAI-01661,20.930081,-156.426148,Forereef,Deep,0.12,0,0.003333333,0,0,0,0,0,0.003333333,0,0,0,0,0,0.01,0,0.103333333,0.013333333,0,0.07,0,0,0.676666667,0.09,0.03
MHI,Maui,2015,40723,MAI-01760,20.935675,-156.370625,Forereef,Deep,0.116666667,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0.106666667,0.026666667,0,0.02,0,0.02,0.743333333,0.033333333,0.04
MHI,Maui,2015,40723,MAI-01697,20.942999,-156.353478,Forereef,Deep,0.183333333,0,0.003333333,0,0,0,0,0,0,0,0,0,0.003333333,0.006666667,0.006666667,0.016666667,0.146666667,0.04,0,0.103333333,0,0.02,0.6,0.006666667,0.046666667
MHI,Maui,2015,40723,MAI-01644,20.950408,-156.327255,Forereef,Deep,0.023333333,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.086666667,0,0.04,0.793333333,0.003333333,0.033333333
MHI,Maui,2015,40723,MAI-01610,20.946424,-156.307153,Forereef,Deep,0.083333333,0,0.006666667,0,0,0,0,0,0.006666667,0,0,0,0,0,0.006666667,0,0.063333333,0.056666667,0,0.103333333,0,0.036666667,0.676666667,0.006666667,0.036666667
MHI,Hawaii,2015,40709,HAW-02416,19.759449,-156.05256,Forereef,Deep,0.167857143,0.003571429,0.010714286,0,0,0,0.003571429,0,0,0,0,0,0.007142857,0.067857143,0.007142857,0.003571429,0.064285714,0.032142857,0,0,0,0.196428571,0.578571429,0.014285714,0.010714286
MHI,Hawaii,2015,40713,HAW-02266,19.789252,-156.051428,Forereef,Deep,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017391304,0.047826087,0,0,0,0.082608696,0.813043478,0.017391304,0.02173913
MHI,Hawaii,2015,40713,HAW-01823,19.795491,-156.037925,Forereef,Deep,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.126666667,0.016666667,0,0.176666667,0.046666667,0,0.023333333,0,0.086666667,0.44,0.033333333,0.046666667
MHI,Hawaii,2015,40713,HAW-02221,19.805374,-156.019991,Forereef,Deep,0.223333333,0,0,0,0,0,0.003333333,0,0.01,0,0,0,0,0.03,0.016666667,0.003333333,0.16,0.056666667,0,0.006666667,0,0.11,0.48,0.04,0.083333333
MHI,Hawaii,2015,40709,HAW-01916,19.641143,-156.010026,Forereef,Deep,0.346666667,0,0,0,0,0,0,0,0,0,0,0,0,0.243333333,0.01,0.003333333,0.09,0.063333333,0,0.003333333,0,0.02,0.383333333,0.033333333,0.15
MHI,Hawaii,2015,40713,HAW-02257,19.840725,-155.98486,Forereef,Deep,0.243333333,0.01,0.003333333,0,0,0,0.006666667,0,0,0,0,0,0.003333333,0.036666667,0,0.013333333,0.17,0.046666667,0,0,0,0,0.543333333,0.053333333,0.113333333
MHI,Hawaii,2015,40713,HAW-01805,19.851872,-155.972663,Forereef,Deep,0.364516129,0,0.003225806,0,0,0,0,0,0.009677419,0,0,0,0,0.096774194,0.006451613,0.003225806,0.24516129,0.05483871,0,0.012903226,0,0,0.419354839,0.067741935,0.080645161
MHI,Hawaii,2015,40709,HAW-01811,19.568667,-155.971391,Forereef,Deep,0.543333333,0.003333333,0,0,0,0,0,0,0.003333333,0,0,0,0,0.186666667,0.006666667,0.01,0.333333333,0.03,0,0,0,0.003333333,0.223333333,0.116666667,0.083333333
MHI,Hawaii,2015,40709,HAW-01843,19.509591,-155.957528,Forereef,Deep,0.393333333,0,0,0,0,0,0.003333333,0,0,0,0,0,0.006666667,0.213333333,0.01,0,0.16,0.066666667,0,0,0,0.003333333,0.446666667,0.03,0.06
MHI,Hawaii,2015,40709,HAW-02185,19.482746,-155.948164,Forereef,Deep,0.156666667,0.003333333,0,0,0,0,0.003333333,0,0,0,0,0,0.043333333,0.01,0.006666667,0,0.09,0.076666667,0,0.003333333,0,0,0.646666667,0.02,0.096666667
MHI,Hawaii,2015,40711,HAW-02281,19.447963,-155.923456,Forereef,Deep,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.003333333,0.036666667,0,0.003333333,0,0.036666667,0.853333333,0.023333333,0.04
MHI,Hawaii,2015,40712,HAW-02466,19.124999,-155.918973,Forereef,Deep,0.33,0,0,0,0,0,0,0,0.006666667,0,0,0,0.003333333,0.123333333,0,0.003333333,0.193333333,0.08,0,0.016666667,0,0.006666667,0.426666667,0.076666667,0.063333333
MHI,Hawaii,2015,40712,HAW-02457,19.109653,-155.916972,Forereef,Deep,0.12,0,0.01,0,0,0,0,0,0.003333333,0,0,0,0.026666667,0.05,0,0,0.03,0.056666667,0,0.003333333,0,0.056666667,0.686666667,0.04,0.036666667
MHI,Hawaii,2015,40711,HAW-02197,19.176394,-155.912427,Forereef,Deep,0.566666667,0,0,0,0,0,0.003030303,0,0,0,0,0,0.003030303,0.278787879,0.006060606,0.012121212,0.263636364,0.054545455,0,0.009090909,0,0.036363636,0.203030303,0.057575758,0.072727273
MHI,Hawaii,2015,40711,HAW-02408,19.194486,-155.90719,Forereef,Deep,0.46,0,0,0,0,0,0,0.003333333,0.003333333,0,0,0,0.003333333,0.146666667,0,0.013333333,0.29,0.183333333,0,0.003333333,0,0,0.243333333,0.04,0.07
MHI,Hawaii,2015,40711,HAW-02413,19.221516,-155.903135,Forereef,Deep,0.193333333,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0.04,0.013333333,0,0.11,0.113333333,0,0.013333333,0,0.016666667,0.56,0.04,0.063333333
MHI,Hawaii,2015,40711,HAW-02263,19.272309,-155.893603,Forereef,Deep,0.21,0.013333333,0,0,0,0,0.006666667,0,0,0,0,0,0.006666667,0.09,0.023333333,0,0.07,0.113333333,0,0.006666667,0,0.05,0.53,0.04,0.05
MHI,Hawaii,2015,40711,HAW-02278,19.357144,-155.891729,Forereef,Deep,0.15,0.01,0.01,0,0,0,0.003333333,0,0.006666667,0,0,0,0,0.07,0.006666667,0,0.043333333,0.06,0,0.053333333,0,0.063333333,0.556666667,0.09,0.026666667
MHI,Hawaii,2015,40712,HAW-01851,19.052735,-155.885586,Forereef,Deep,0.093333333,0,0.003333333,0,0,0,0,0,0.006666667,0,0,0,0.03,0.003333333,0.003333333,0,0.046666667,0.073333333,0,0.02,0,0.013333333,0.693333333,0.016666667,0.09
MHI,Hawaii,2015,40712,HAW-02275,19.028805,-155.867023,Forereef,Deep,0.109677419,0,0.003225806,0,0,0,0,0,0.006451613,0,0,0,0.067741935,0,0,0,0.032258065,0.164516129,0,0.012903226,0,0.035483871,0.412903226,0.051612903,0.212903226
MHI,Hawaii,2015,40712,HAW-01995,19.027805,-155.86487,Forereef,Deep,0.1,0,0.003333333,0,0,0,0,0,0,0,0,0,0.04,0.036666667,0,0,0.02,0.086666667,0.003333333,0.003333333,0,0.013333333,0.676666667,0.003333333,0.113333333
MHI,Hawaii,2015,40712,HAW-02149,19.014625,-155.823405,Forereef,Deep,0.1,0,0,0,0,0,0,0,0.013333333,0,0,0,0.016666667,0.04,0.003333333,0.003333333,0.023333333,0.07,0,0.01,0,0.053333333,0.646666667,0.046666667,0.073333333
MHI,Hawaii,2015,40712,HAW-02468,19.009163,-155.800246,Forereef,Deep,0.029032258,0,0,0,0,0,0,0,0,0,0,0,0,0.025806452,0,0,0.003225806,0.04516129,0,0.003225806,0,0.064516129,0.738709677,0.019354839,0.1
MHI,Hawaii,2015,40725,HAW-02011,20.086498,-155.420432,Forereef,Deep,0.033333333,0,0,0,0,0,0.003333333,0,0.006666667,0,0,0,0.003333333,0,0.003333333,0,0.016666667,0.01,0,0,0,0.426666667,0.516666667,0.01,0.003333333
MHI,Hawaii,2015,40725,HAW-02122,20.059132,-155.365833,Forereef,Deep,0.05,0,0.006666667,0,0,0,0.003333333,0,0.01,0,0,0,0.003333333,0,0.003333333,0,0.023333333,0.016666667,0,0.003333333,0,0.07,0.84,0.006666667,0.013333333
MHI,Hawaii,2015,40725,HAW-02158,20.051146,-155.350877,Forereef,Deep,0.03,0,0.003333333,0,0,0,0,0,0.003333333,0,0,0,0.013333333,0,0.003333333,0,0.006666667,0.03,0,0,0,0.1,0.783333333,0.05,0.006666667
MHI,Hawaii,2015,40710,HAW-02146,19.974095,-155.208315,Forereef,Deep,0.02,0,0,0,0,0,0,0,0.013333333,0,0,0,0.003333333,0,0.003333333,0,0,0.016666667,0,0,0,0.46,0.503333333,0,0
MHI,Hawaii,2015,40710,HAW-02110,19.932981,-155.155435,Forereef,Deep,0.05625,0,0.01875,0,0,0,0,0,0.009375,0,0,0,0.01875,0,0.003125,0,0.00625,0.034375,0.003125,0.0125,0,0.1625,0.7,0.025,0.00625
MHI,Hawaii,2015,40710,HAW-01957,19.919755,-155.140342,Forereef,Deep,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0.006666667,0,0.033333333,0.04,0,0.003333333,0,0.063333333,0.796666667,0.006666667,0.023333333
MHI,Hawaii,2015,40710,HAW-02348,19.876783,-155.105778,Forereef,Deep,0.046666667,0,0,0,0,0,0.003333333,0,0.003333333,0,0,0,0.033333333,0,0.003333333,0,0.003333333,0.043333333,0.003333333,0.003333333,0,0.08,0.816666667,0,0.006666667
MHI,Hawaii,2015,40710,HAW-01927,19.805951,-155.085951,Forereef,Deep,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0.003333333,0,0.003333333,0.03,0,0.006666667,0,0.11,0.783333333,0.01,0.036666667
MHI,Niihau,2015,40719,NII-01375,21.884872,-160.238927,Forereef,Mid,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.016666667,0.003333333,0.046666667,0,0.146666667,0.773333333,0.01,0
MHI,Niihau,2015,40719,NII-01320,21.919574,-160.214405,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.003333333,0.056666667,0,0.066666667,0.836666667,0.006666667,0
MHI,Niihau,2015,40719,NII-01316,21.914519,-160.210309,Forereef,Mid,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0.043333333,0,0,0.936666667,0.013333333,0.003333333
MHI,Niihau,2015,40719,NII-01305,21.928224,-160.194761,Forereef,Mid,0.106666667,0,0,0,0,0,0,0,0,0,0,0,0.106666667,0,0,0,0,0.033333333,0,0.02,0,0.003333333,0.73,0.026666667,0.08
MHI,Niihau,2015,40719,NII-01312,21.940834,-160.183369,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.003333333,0.036666667,0,0.013333333,0.903333333,0.003333333,0.02
MHI,Niihau,2015,40719,NII-01386,21.944253,-160.164205,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.016666667,0.613333333,0.006666667,0.023333333
MHI,Niihau,2015,40721,NII-01408,21.848898,-160.162977,Forereef,Mid,0.01,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.003333333,0,0.003333333,0.003333333,0.003333333,0.033333333,0,0.056666667,0.893333333,0,0
MHI,Niihau,2015,40719,NII-01309,21.954266,-160.152205,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.016666667,0,0.053333333,0.926666667,0,0
MHI,Niihau,2015,40719,NII-01357,21.959179,-160.145123,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046666667,0,0.003333333,0,0.01,0.93,0.006666667,0.003333333
MHI,Niihau,2015,40719,NII-01332,21.968271,-160.132935,Forereef,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046666667,0,0,0,0.023333333,0.903333333,0.013333333,0.013333333
MHI,Niihau,2015,40720,NII-01339,21.968321,-160.132814,Forereef,Mid,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,0.003333333,0.01,0,0.033333333,0.943333333,0.003333333,0
MHI,Niihau,2015,40720,NII-01306,21.985782,-160.129748,Forereef,Mid,0.006060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006060606,0,0,0.012121212,0,0.006060606,0,0.006060606,0.9,0.042424242,0.027272727
MHI,Niihau,2015,40720,NII-01345,21.999264,-160.124296,Forereef,Mid,0.01,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0.003333333,0,0,0.083333333,0.006666667,0.006666667,0,0.006666667,0.823333333,0.01,0.053333333
MHI,Niihau,2015,40720,NII-01354,21.989222,-160.122382,Forereef,Mid,0.009375,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0.003125,0,0.003125,0.009375,0,0,0,0.06875,0.80625,0.0875,0.01875
MHI,Niihau,2015,40721,NII-01322,21.877498,-160.108982,Forereef,Mid,0.003448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003448276,0.017241379,0,0,0,0.275862069,0.644827586,0.048275862,0.010344828
MHI,Niihau,2015,40720,NII-01412,22.015955,-160.091794,Forereef,Mid,0.066666667,0,0.006666667,0,0,0,0,0,0,0,0,0,0.036666667,0,0.01,0,0.013333333,0.09,0.006666667,0.01,0,0.01,0.77,0.023333333,0.023333333
MHI,Niihau,2015,40720,NII-01420,22.01101,-160.086489,Forereef,Mid,0.025806452,0,0,0,0,0,0,0,0,0,0,0,0.019354839,0,0.003225806,0,0.003225806,0,0,0,0,0.074193548,0.835483871,0.064516129,0
MHI,Niihau,2015,40721,NII-01327,21.889626,-160.081747,Forereef,Mid,0.04,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0,0.013333333,0,0,0.003333333,0,0.073333333,0.87,0.006666667,0.006666667
MHI,Niihau,2015,40720,NII-01323,22.004564,-160.06869,Forereef,Mid,0.076666667,0,0,0,0,0,0.003333333,0,0,0,0,0,0.063333333,0,0.006666667,0,0.003333333,0.103333333,0,0.006666667,0,0.003333333,0.72,0.046666667,0.043333333
MHI,Niihau,2015,40721,NII-01342,21.960622,-160.063709,Forereef,Mid,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.003333333,0,0,0,0.03,0.93,0.016666667,0.01
