Code,SCIENTIFIC NAME,Functional group,SPC_Bio,%comp
CHLI,Chaetodon lineolatus,Fish Invertivores,0.001945056,0.0%
INAN,Iniistius aneitensis,Fish Invertivores,0.001881873,0.0%
CHEP,Chaetodon ephippium,Fish Invertivores,0.00184579,0.0%
GYEU,Gymnothorax eurostus,Fish Invertivores,0.001783385,0.0%
GYZE,Gymnomuraena zebra,Fish Invertivores,0.001286012,0.0%
DIHO,Diodon holocanthus,Fish Invertivores,0.001220895,0.0%
PLGO,Plagiotremus goslinei,Fish Invertivores,0.000826273,0.0%
GYRU,Gymnothorax rueppellii,Fish Invertivores,0.000634142,0.0%
PLEW,Plagiotremus ewaensis,Fish Invertivores,0.00057876,0.0%
THQU,Thalassoma quinquevittatum,Fish Invertivores,0.000422431,0.0%
CHTI,Chaetodon tinkeri,Fish Invertivores,0.000360306,0.0%
WRAS,Labridae,Target BC,0.000369212,0.0%
ALSC,Aluterus scriptus,Fish Invertivores,0.00024674,0.0%
SECO,Sebastapistes coniorta,Fish Invertivores,0.000242392,0.0%
OXBI,Oxycheilinus bimaculatus,Target BC,0.022069623,0.7%
DEBA,Dendrochirus barberi,Fish Invertivores,0.000172374,0.0%
INUM,Iniistius umbrilatus,Fish Invertivores,0.000131979,0.0%
PUFF,Tetraodontidae,Fish Invertivores,0.000131908,0.0%
THLU,Thalassoma lutescens,Fish Invertivores,0.000128502,0.0%
GYMT,Gymnothorax melatremus,Fish Invertivores,0.000117996,0.0%
CATY,Caracanthus typicus,Fish Invertivores,0.00010815,0.0%
GOBI,Gobiidae,Fish Invertivores,8.4161E-05,0.0%
LAFO,Lactoria fornasini,Fish Invertivores,6.68683E-05,0.0%
ECNE,Echidna nebulosa,Fish Invertivores,4.79293E-05,0.0%
AMBI,Amblycirrhitus bimacula,Fish Invertivores,3.94408E-06,0.0%
THDQ,Thalassoma duperrey-quinquevittatum hybrid,Fish Invertivores,2.67614E-07,0.0%
LUKA,Lutjanus kasmira,Target BC,1.003270127,31.0%
BOBI,Bodianus bilunulatus,Target BC,0.910682239,28.1%
PAMU,Parupeneus multifasciatus,Target BC,0.309421069,9.6%
LUFU,Lutjanus fulvus,Target BC,0.251148837,7.8%
PACY,Parupeneus cyclostomus,Target BC,0.168302911,5.2%
MUFL,Mulloidichthys flavolineatus,Target BC,0.123812075,3.8%
MUVA,Mulloidichthys vanicolensis,Target BC,0.10682241,3.3%
PAIN,Parupeneus insularis,Target BC,0.094456552,2.9%
COFL,Coris flavovittata,Target BC,0.056199568,1.7%
PAPL,Parupeneus pleurostigma,Target BC,0.03736747,1.2%
PAPO,Parupeneus porphyreus,Target BC,0.029922535,0.9%
CIPI,Cirrhitus pinnulatus,Target BC,0.02730309,0.8%
SATI,Sargocentron tiere,Target BC,0.024326413,0.8%
SADI,Sargocentron diadema,Target BC,0.01807942,0.6%
SASP,Sargocentron spiniferum,Target BC,0.017580592,0.5%
MUPF,Mulloidichthys pfluegeri,Target BC,0.0084645,0.3%
NESA,Neoniphon sammara,Target BC,0.007917332,0.2%
SAPP,Sargocentron sp,Target BC,0.007908806,0.2%
SAXA,Sargocentron xantherythrum,Target BC,0.007865408,0.2%
THPU,Thalassoma purpureum,Target BC,0.009828748,0.3%
THTR,Thalassoma trilobatum,Target BC,0.009690526,0.3%
OPPU,Oplegnathus punctatus,Target BC,0.005246223,0.2%
BOMA,Bothus mancus,Target BC,0.003153281,0.1%
INPA,Iniistius pavo,Target BC,4.50464E-05,0.0%
MUMI,Mulloidichthys mimicus,Target BC,3.86983E-05,0.0%
GOAT,Mullidae,Target BC,2.50035E-07,0.0%
MENI,Melichthys niger,Large Planktivores,0.804034062,49.0%
CHVA,Chromis vanderbilti,Fish Planktivores,0.220427024,13.4%
CHVE,Chromis verater,Fish Planktivores,0.101820234,6.2%
DAAL,Dascyllus albisella,Fish Planktivores,0.086026651,5.2%
HEDI,Heniochus diphreutes,Fish Planktivores,0.062499291,3.8%
ABAB,Abudefduf abdominalis,Fish Planktivores,0.060633215,3.7%
CHOV,Chromis ovalis,Fish Planktivores,0.058388274,3.6%
CHMI,Chaetodon miliaris,Fish Planktivores,0.054425733,3.3%
ACTH,Acanthurus thompsoni,Fish Planktivores,0.04748034,2.9%
CHKL,Chaetodon kleinii,Fish Planktivores,0.038322626,2.3%
XAAU,Xanthichthys auromarginatus,Fish Planktivores,0.017069047,1.0%
CHHA,Chromis hanui,Fish Planktivores,0.015917674,1.0%
ABVA,Abudefduf vaigiensis,Fish Planktivores,0.015801911,1.0%
APKA,Apogon kallopterus,Fish Planktivores,0.015559417,0.9%
CHAG,Chromis agilis,Fish Planktivores,0.013788653,0.8%
PTHE,Ptereleotris heteroptera,Fish Planktivores,0.007831825,0.5%
HETH,Hemitaurichthys thompsoni,Fish Planktivores,0.00572782,0.3%
HEPO,Hemitaurichthys polylepis,Fish Planktivores,0.003963698,0.2%
PSBI,Pseudanthias bicolor,Fish Planktivores,0.003783214,0.2%
CHAC,Chromis acares,Fish Planktivores,0.001762993,0.1%
BLEN,Blenniidae,Fish Planktivores,0.001528586,0.1%
CHLC,Chromis leucura,Fish Planktivores,0.00077321,0.0%
GUCU,Gunnellichthys curiosus,Fish Planktivores,0.000747005,0.0%
APSP,Apogon sp,Fish Planktivores,0.000424654,0.0%
CIJO,Cirrhilabrus jordani,Fish Planktivores,0.000175202,0.0%
PSHW,Pseudanthias ventralis hawaiiensis,Fish Planktivores,0.000174832,0.0%
OXTY,Oxycirrhites typus,Fish Planktivores,0.000115809,0.0%
APMA,Apogon maculiferus,Fish Planktivores,6.50636E-05,0.0%
NEMA,Nemateleotris magnifica,Fish Planktivores,1.23883E-06,0.0%
NAHE,Naso hexacanthus,Large Planktivores,0.472374915,42.2%
NABR,Naso brevirostris,Large Planktivores,0.289458736,25.8%
MYBE,Myripristis berndti,Large Planktivores,0.233207977,20.8%
MYKU,Myripristis kuntee,Large Planktivores,0.095464773,8.5%
MYAM,Myripristis amaena,Large Planktivores,0.015252949,1.4%
PRME,Priacanthus meeki,Large Planktivores,0.004075971,0.4%
MYSP,Myripristinae,Large Planktivores,0.003284377,0.3%
NASP,Naso sp,Large Planktivores,0.002352902,0.2%
HECR,Heteropriacanthus cruentatus,Large Planktivores,0.002277412,0.2%
NAAN,Naso annulatus,Large Planktivores,0.00166232,0.1%
KUSA,Kuhlia sandvicensis,Large Planktivores,0.000524853,0.0%
MYVI,Myripristis vittata,Large Planktivores,0.000303719,0.0%
APVI,Aprion virescens,Fish Roving Piscivores,1.021821843,#N-A
CAME,Caranx melampygus,Fish Roving Piscivores,0.583927832,#N-A
CAIG,Caranx ignobilis,Fish Roving Piscivores,0.342585316,#N-A
SEDU,Seriola dumerili,Fish Roving Piscivores,0.276826087,#N-A
ALCI,Alectis ciliaris,Fish Roving Piscivores,#N-A,#N-A
CAFE,Carangoides ferdau,Fish Roving Piscivores,0.036908404,#N-A
CAOR,Carangoides orthogrammus,Fish Roving Piscivores,0.023541563,#N-A
CASE,Caranx sexfasciatus,Fish Roving Piscivores,#N-A,#N-A
PSDE,Pseudocaranx dentex,Fish Roving Piscivores,#N-A,#N-A
SPBA,Sphyraena barracuda,Fish Roving Piscivores,0.008736251,#N-A
GNSP,Gnathanodon speciosus,Fish Roving Piscivores,#N-A,#N-A
SCLY,Scomberoides lysan,Fish Roving Piscivores,0.004913728,#N-A
SPHE,Sphyraena helleri,Fish Roving Piscivores,6.91362E-05,#N-A
SPLE,Sphyrna lewini,Fish Roving Piscivores,#N-A,#N-A
SPQE,Sphyraena qenie,Fish Roving Piscivores,#N-A,#N-A
CASP,Caranx sp,Fish Roving Piscivores,#N-A,#N-A
APFU,Aphareus furca,Fish Roving Piscivores,0.104272267,#N-A
FICO,Fistularia commersonii,Fish Roving Piscivores,0.027056872,#N-A
TYCR,Tylosurus crocodilus,Fish Roving Piscivores,0.010481841,#N-A
ELBI,Elagatis bipinnulata,Fish Roving Piscivores,0.004512332,#N-A
PLAR,Platybelone argalus,Fish Roving Piscivores,#N-A,#N-A
NEED,Belonidae,Fish Roving Piscivores,2.29807E-06,#N-A
SCPS,Scarus psittacus,Parrots,0.290733119,81.4%
SCDU,Scarus dubius,Parrots,0.066545696,18.6%
DEMA,Decapterus macarellus,Shallow Prey,0.420897142,99.9%
SECR,Selar crumenophthalmus,Shallow Prey,0.000224288,0.1%
AENA,Aetobatus narinari,Sharks,0.054477987,0.9%
CAML,Carcharhinus melanopterus,Sharks,#N-A,#N-A
CAAB,Carcharhinus amblyrhynchos,Sharks,0.058276333,#N-A
TROB,Triaenodon obesus,Sharks,0.043172965,#N-A
CAGA,Carcharhinus galapagensis,Sharks,#N-A,#N-A
GACU,Galeocerdo cuvier,Sharks,#N-A,#N-A
