,SITE,REGION,ISLAND,REEF_ZONE,OBS_YEAR,DEPTH_BIN,SITEVISITID,ANALYSIS_SEC,METHOD,REGION_NAME,HABITAT_CODE,DEPTH,HARD_CORAL,MA,CCA,SAND,OTHER_BENTHIC,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,VISIBILITY,nCounts,nReps,PISCIVORE,PLANKTIVORE,PRIMARY,SECONDARY,ID,Acanthuridae,Apogonidae,Aulostomidae,Balistidae,Blenniidae,Bothidae,Caracanthidae,Carangidae,Carcharhinidae,Chaetodontidae,Cheilodactylidae,Cirrhitidae,Congridae,Diodontidae,Fistulariidae,Gobiidae,Holocentridae,Kuhliidae,Kyphosidae,Labridae,Lethrinidae,Lutjanidae,Malacanthidae,Microdesmidae,Monacanthidae,Mullidae,Muraenidae,Ophichthidae,Oplegnathidae,Ostraciidae,Pinguipedidae,Pomacanthidae,Pomacentridae,Priacanthidae,Ptereleotridae,Scaridae,Scorpaenidae,Serranidae,Synodontidae,Tetraodontidae,Zanclidae,UNKNOWN,INSTTotFish,SharkJackRayTunaBarra,INSTTotFishMinusSJRTB,MEAN_Chla_MEAN,MEAN_Chla_SD,MEAN_Chla_CLIM_MAX,MEAN_Chla_ANOM_MAX,MEAN_Chla_ANOM_FREQ,MEAN_Irradiance_MEAN,MEAN_Irradiance_SD,MEAN_Irradiance_CLIM_MAX,MEAN_Irradiance_ANOM_MAX,MEAN_Irradiance_ANOM_FREQ,MEAN_SST_MEAN,MEAN_SST_SD,MEAN_SST_CLIM_MAX,MEAN_SST_ANOM_MAX,MEAN_SST_ANOM_FREQ,MEAN_Waves_MEAN,MEAN_Waves_SD,MEAN_Waves_CLIM_MAX,MEAN_Waves_ANOM_MAX,MEAN_Waves_ANOM_FREQ,DATE_,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,ANALYSIS_STRATA,MPA_Name,MPA_Estab_Yr,Protection,TUT2012,OTHER_AREA_GROUPING,Total.Coral,CORAL_Branching.hard.coral,CORAL_Encrusting.hard.coral,CORAL_Massive.hard.coral,I_Sessile.Invertebrate,MA_Macroalga,SC_Soft.Coral,SED_Sediment,TURF_Turf.Alga,UC_UnIdentified,CCA_Coralline.Alga
11,HAW-00468,MHI,Hawaii,Forereef,2013,Shallow,5926,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,5.15,7,10.5,5,12.5,65,0.66875,0.416621472951219,1.25,8.5,2,1,0,0.200210129355042,1.21842842425891,1.64377909791947,227,0.427295743,0,0,0.29209748,0.005796159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522911975,0.45803191,0,0,0,0.005886612,0,0.468203291,0,0,0,0,0,0,0.88219448,0,0,0,0,0,0,0,0,0,3.062417652,0,3.062417652,0.06503333333,0.01926666667,0.17313333333,0.0321,0.08636666667,43.3116918933,9.12924622433,57.5233666667,3.920550463,0.18055555567,25.4815145933,0.87070475133,26.8293333333,0.15508333333,0.047542735,14.3553628433,13.6117009867,21.4488488433,66.9767517733,0.143378995,8/3/13,20.24934433,-155.7970292,0,HAW_HAMAKUA,5984,340003,RANDOM,RAMP_BASIC,2013-15,ForereefShallow,NA,NA,NA,NA,,0.025,0,0.021875,0.003125,0,0,0,0.06875,0.884375,0.0125,0.00625
12,HAW-00469,MHI,Hawaii,Forereef,2013,Shallow,5925,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,5.1,3.5,20,0,15,61.5,0.3825,0.197036240470737,0.6,8,2,1,0,0.0248926819259356,0.0804114245891634,2.32352085740521,226,0.080411425,0,0,1.558501751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765019107,0,0,0,0,0,0,0,0,0,0,0,0,0.024892682,0,0,0,0,0,0,0,0,0,2.428824964,0,2.428824964,0.06503333333,0.01926666667,0.17313333333,0.0321,0.08636666667,43.3116918933,9.12924622433,57.5233666667,3.920550463,0.18055555567,25.4543722467,0.86904548367,26.7383333333,0.17094444467,0.05769230767,14.8329759833,14.4420027633,22.4150665967,73.3930827867,0.133001245,8/3/13,20.24433305,-155.7739823,0,HAW_HAMAKUA,5953,340003,RANDOM,RAMP_BASIC,2013-15,ForereefShallow,NA,NA,NA,NA,,0.003333333,0,0,0.003333333,0,0.103333333,0,0.076666667,0.79,0.01,0.016666667
13,HAW-00486,MHI,Hawaii,Forereef,2013,Deep,6003,HAW_KONA,nSPC,Main Hawaiian Islands,MIX,19.35,32.5,5,25,7.5,30,0.43875,0.214683325432253,1,20,2,1,1.77352579651501,0,9.62405541650688,3.23912645336862,270,8.284255675,0,0.022197075,1.016306383,0.001349615,0,0,0,0,0.572477415,0,0,0,0,0,0,1.03450713,0,0,0.706875497,0,0,0,0,0.021842203,0.362959734,0,0,0,0,0,0.031744722,0,0,0,0.833415297,0,1.543112379,0,0,0.205664542,0,14.63670767,0,14.63670767,0.0743,0.02726666667,0.23716666667,0.05723333333,0.13343333333,44.8618186133,8.431535115,58.7144666667,3.823777778,0.18719806767,25.9568469,0.89780347033,27.4496666667,0.15499999967,0.045405983,1.600416206,3.16535705267,7.648006054,29.9849438467,0.045579078,8/8/13,19.98997229,-155.8381286,0,HAW_KONA,14141,339999,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.264516129,0.112903226,0,0.148387097,0,0.019354839,0,0.006451613,0.583870968,0.093548387,0.019354839
14,HAW-00487,MHI,Hawaii,Forereef,2013,Shallow,5951,HAW_KONA,nSPC,Main Hawaiian Islands,MIX,4.85,15,10,15,3.5,56.5,0.67,0.700719576365818,2.6,17.5,2,1,0.254754012242427,1.09389102246377,14.4529629488915,3.02420314239291,238,14.44612186,0,0,0.962096321,0.011949433,0,0,0,0,0.263300194,0,0.295449787,0,0,0,0,0,0,0,0.869258593,0,0,0,0,0.006841086,0.43071384,0.254754012,0,0,0.011129197,0,0,1.274196799,0,0,0,0,0,0,0,0,0,18.82581113,0,18.82581113,0.05673333333,0.0153,0.11136666667,0.01416666667,0.0459,36.5733440367,7.21640808667,55.4470666667,7.27626134267,0.15942028967,26.0154567333,0.87933876,27.5403333333,0.10380555567,0.030448718,5.956686641,9.23080511533,21.8836415567,70.2022094133,0.055292653,8/4/13,19.15302216,-155.9155067,0,HAW_KONA,5859,268035,RANDOM,RAMP_BASIC,2013-15,ForereefShallow,NA,NA,NA,NA,,0.138235294,0.035294118,0,0.102941176,0,0.011764706,0,0.005882353,0.773529412,0.008823529,0.058823529
15,HAW-00488,MHI,Hawaii,Forereef,2013,Deep,6008,HAW_KONA,nSPC,Main Hawaiian Islands,AGR,22.3,12.5,1.5,7.5,30,48.5,1.65,1.47856643808922,5.5,16,2,1,0.0244679292138119,0.263776199972003,4.54877496559344,1.30229756759937,275,4.47684968,0,0,0.206264806,0,0,0,0,0,0.262074711,0,0.065255008,0,0,0,0,0,0,0,0.366348346,0,0,0,0,0,0.291063222,0,0,0,0.065343764,0,0.060664808,0.33419184,0,0,0,0,0,0,0.011260478,0,0,6.139316662,0,6.139316662,0.06766666667,0.01933333333,0.20073333333,0.04263333333,0.09116666667,45.0095452667,8.497370428,58.3533333333,3.34239236133,0.18538647333,25.9044772133,0.89232983133,27.5133333333,0.12277777767,0.03472222233,1.33812226,2.117116923,5.64221699733,21.6922534967,0.0456621,8/8/13,20.0630039,-155.8532633,0,HAW_KONA,16684,340003,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.187096774,0.122580645,0.003225806,0.061290323,0,0.003225806,0,0.019354839,0.558064516,0.138709677,0.038709677
16,HAW-00492,MHI,Hawaii,Forereef,2013,Deep,6011,HAW_KONA,nSPC,Main Hawaiian Islands,APR,18.75,32.5,0.5,25,5.5,36.5,0.58625,0.347903808211762,1.25,21.5,2,1,4.4991890130257,4.78158166993305,14.2177482104594,16.2408132846077,278,11.51988845,0,0,1.249095315,0,0,0,0,0,0.923377389,0,0,0,0,0,0,0.517016415,0,0,0.971231703,0,13.51902372,0,0,0.367235344,0.245816446,0,0,0,0,0,0.060664808,3.974532378,0,0,2.637194948,0,3.754255262,0,0,0,0,39.73933218,0,39.73933218,0.0749,0.02463333333,0.20836666667,0.05003333333,0.13463333333,45.2017252267,8.355223154,59.2154,4.01601041667,0.18961352667,25.9625432667,0.89849291967,27.468,0.14019444433,0.04326923067,2.52212221233,4.35446066233,10.1793774847,37.8988779033,0.045745122,8/8/13,19.939099,-155.8828862,0,HAW_KONA,9736,339998,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.409375,0.146875,0.01875,0.24375,0,0.0125,0,0.0125,0.521875,0.015625,0.028125
17,HAW-00506,MHI,Hawaii,Forereef,2013,Mid,5950,HAW_KONA,nSPC,Main Hawaiian Islands,AGR,18,72.5,0,12.5,0.5,14.5,0.4525,0.21827321354169,1,20,2,1,27.3821727612037,11.1059240098635,3.75505572247879,9.60714605293841,237,2.360321285,0,1.054641844,0.081344728,0,0,0,0,0,1.048442284,0,0.124070541,0,0,0,0,9.657996675,0,0,3.559623658,0,0.424786799,0,0,0,7.338465465,0,0,0,0,0,0.076528092,1.033777131,0,0,1.259019178,0,23.67423943,0,0,0.157041434,0,51.85029855,0,51.85029855,0.06073333333,0.01836666667,0.12416666667,0.0175,0.0453,35.70603314,7.250062373,55.0824666667,7.69710300933,0.161231884,25.9973205333,0.883376979,27.5353333333,0.11733333333,0.03258547,6.81127587067,8.661785019,21.5895924567,66.51378266,0.056039851,8/4/13,19.13674979,-155.9190188,0,HAW_KONA,5677,246532,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.396969697,0.242424242,0.003030303,0.151515152,0,0.003030303,0,0,0.184848485,0.057575758,0.327272727
18,HAW-00526,MHI,Hawaii,Forereef,2013,Mid,6007,HAW_KONA,nSPC,Main Hawaiian Islands,AGR,7.55,65,3.5,10,9,12.5,0.41375,0.263969935425982,0.95,17.5,2,1,0.110140412162358,0.694889816442008,4.54203100689746,1.74220622602953,274,3.186053843,0,0,2.053277876,0.008668025,0,0,0,0,0.243304056,0,0.587872193,0,0,0,0,0,0,0,0.527665984,0,0,0,0,0,0.168410588,0,0,0,0,0,0,0.242559937,0,0,0,0,0,0,0.07145496,0,0,7.089267462,0,7.089267462,0.0745,0.0207,0.19976666667,0.04246666667,0.14673333333,45.22442114,8.39549676167,59.2992666667,3.85422916667,0.17814009667,25.9555709167,0.88761006333,27.4516666667,0.13130555567,0.04273504267,2.62108964933,4.29893591067,9.72780888533,31.7987329,0.04989622233,8/8/13,19.89859303,-155.9091576,0,HAW_KONA,9726,339990,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.557575758,0.066666667,0.03030303,0.460606061,0,0.006060606,0,0,0.396969697,0.021212121,0.018181818
19,HAW-00532,MHI,Hawaii,Forereef,2013,Mid,6002,HAW_KONA,nSPC,Main Hawaiian Islands,SAG,8.7,20,5,27.5,15,32.5,0.605,0.494617292187906,1.55,19,2,1,1.19230811025734,5.51740944083976,9.02643275284021,8.04109082429091,269,11.27709848,0,0,1.55935612,0,0,0,0,0,2.275331081,0,0.075838029,0,0,0,0,0,0,0,1.699116247,3.833369518,0.522164026,0,0,0,0.236715398,0,0,0,0,0,0,0,0,0,2.298252227,0,0,0,0,0,0,23.77724113,0,23.77724113,0.07296666667,0.02813333333,0.2853,0.06283333333,0.13886666667,44.8618186133,8.431535115,58.7144666667,3.823777778,0.18719806767,25.9331024033,0.892385523,27.5363333333,0.11691666633,0.03472222233,1.17705263,2.03022943867,5.244205665,18.70371646,0.04782067233,8/8/13,20.03786271,-155.836791,0,HAW_KONA,14614,340003,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.103030303,0.027272727,0.015151515,0.060606061,0,0,0,0.033333333,0.609090909,0.063636364,0.184848485
20,HAW-00535,MHI,Hawaii,Forereef,2013,Mid,6013,HAW_KONA,nSPC,Main Hawaiian Islands,MIX,8.5,40,0,12.5,2.5,45,1.05,0.816400541122575,2.75,15,2,1,0.27065604470659,0.177022738036345,9.02505113527036,3.41901597008936,280,7.202610522,0,0,1.459187818,0,0,0,0,0,0.710456541,0,1.065031015,0,0,0,0,0,0,0,0.98538577,0,0,0,0,0,0,0,0,0,0,0,0,0.201081041,0,0,0.85394913,0,0,0,0,0.414044051,0,12.89174589,0,12.89174589,0.0745,0.0207,0.19976666667,0.04246666667,0.14673333333,45.22442114,8.39549676167,59.2992666667,3.85422916667,0.17814009667,25.9555709167,0.88761006333,27.4516666667,0.13130555567,0.04273504267,2.55446949,4.32157993967,10.1616878093,34.69622267,0.047986716,8/8/13,19.87847437,-155.916095,0,HAW_KONA,14602,339971,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.323333333,0.056666667,0.02,0.246666667,0,0,0,0.013333333,0.643333333,0.016666667,0.003333333
21,HAW-00540,MHI,Hawaii,Forereef,2013,Mid,6009,HAW_KONA,nSPC,Main Hawaiian Islands,APR,15.75,35,0,20,2.5,42.5,0.616,0.26019640981074,1,25,2,1,7.72111466091241,4.86524416645083,6.75525946617653,41.1184290669635,276,5.180775268,0,0.253655682,0,0,0,0,0,0,0.766598265,0,0,0,0,0,0,1.818123469,0,0,1.924353735,0,37.96591423,0,0,0,1.499050664,0,0,0,0,0,0.32822276,2.805033294,0,0,1.477088365,0,5.901511509,0,0.011260478,0.528459639,0,60.46004736,0,60.46004736,0.07296666667,0.02813333333,0.2853,0.06283333333,0.13886666667,44.8618186133,8.431535115,58.7144666667,3.823777778,0.18719806767,25.9331024033,0.892385523,27.5363333333,0.11691666633,0.03472222233,1.571164456,3.12566328367,7.58755737933,30.28042309,0.045080946,8/8/13,20.0034452,-155.8333024,0,HAW_KONA,14141,340001,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.18,0.043333333,0.013333333,0.123333333,0,0,0,0,0.763333333,0.05,0.006666667
